EC_Common.residues_prime.res_mult_div(1)	cascade/infra_theory	Algebra_Aux.m_div
EC_Common.ell_field.xz_coord_padd_simp(1)	cascade/class_variant	Elliptic_Locale.cring.on_curvep
EC_Common.ell_prime_field.Point_ne_one(1)	KEPT
EC_Common.ell_prime_field.Point_ne_one(2)	KEPT
EC_Common.ell_prime_field.curve_ord_n1(1)	KEPT
EC_Common.ell_prime_field.curve_ord_n2(1)	KEPT
EC_Common.ell_prime_field.curve_ord_n3(1)	KEPT
EC_Common.ell_prime_field.curve_ord_n4(1)	KEPT
EC_Common.ell_prime_field.curve_ord_n5(1)	KEPT
EC_Common.ell_prime_field.curve_ord_n6(1)	KEPT
EC_Common.ell_prime_field.curve_ord_n7(1)	KEPT
EC_Common.ell_prime_field.finite_curve(1)	KEPT
EC_Common.ell_prime_field.nat_int_less(1)	KEPT
EC_Common.ell_prime_field.non_singular(1)	KEPT
EC_Common.ell_prime_field.xy_to_pnt_eq(1)	KEPT
EC_Common.ell_prime_field_axioms.intro(1)	KEPT
EC_Common.field_class.divide_mult_comm(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.field_class.l_diff_div_distr(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.residues_prime_gt2.add_eq_h1(1)	cascade/infra_theory	Algebra_Aux.m_div
EC_Common.residues_prime_gt2.add_eq_h2(1)	KEPT
EC_Common.residues_prime_gt2.get_x_def(1)	KEPT
EC_Common.residues_prime_gt2.get_y_def(1)	KEPT
EC_Common.ell_prime_field.AB_in_carrier(1)	KEPT
EC_Common.ell_prime_field.AB_in_carrier(2)	KEPT
EC_Common.ell_prime_field.multQmodn'int(1)	KEPT
EC_Common.ell_prime_field.order_n_cycle(1)	KEPT
EC_Common.ell_prime_field.xy_to_pnt_def(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_eq(1)	cascade/infra_theory	Algebra_Aux.m_div
EC_Common.ell_field.pdouble_remove_y_eqn(1)	cascade/class_variant	Elliptic_Locale.cring.on_curvep
EC_Common.ell_prime_field.curve_cycle_n1(1)	KEPT
EC_Common.ell_prime_field.curve_cycle_n2(1)	KEPT
EC_Common.ell_prime_field.inv_xyz_to_pnt(1)	KEPT
EC_Common.ell_prime_field.order_n_cycle'(1)	KEPT
EC_Common.ell_prime_field.xy_to_pnt.cong(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_add(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_dbl(1)	cascade/infra_theory	Algebra_Aux.of_integer
EC_Common.ell_prime_field.xyz_to_pnt_def(1)	cascade/infra_theory	Algebra_Aux.m_div
EC_Common.ell_prime_field.xyz_to_pnt_mod(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_z_1(1)	KEPT
EC_Common.field_class.inv_Suc_pow_cancel(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.field_class.of_integer_numeral(1)	KEPT
EC_Common.field_class.of_natural_nat_pow(1)	KEPT
EC_Common.cring_class.add_eq_iff_eq_minus(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.ell_prime_field.xy_to_pnt_Point(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt.cong(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_padd(1)	cascade/class_variant	Elliptic_Locale.cring.padd
EC_Common.ell_prime_field.xyz_to_pnt_zero(1)	KEPT
EC_Common.residues_prime_gt2.point_add_eq(1)	KEPT
EC_Common.ell_prime_field.in_carrier_curve(1)	KEPT
EC_Common.ell_prime_field.multEqPowInCurve(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_scale(1)	KEPT
EC_Common.residues_prime_gt2.point_mult_eq(1)	KEPT
EC_Common.ell_prime_field.mod_of_in_carrier(1)	KEPT
EC_Common.ell_prime_field.multQmodn'int_neg(1)	KEPT
EC_Common.ell_prime_field.multQmodn'int_pos(1)	KEPT
EC_Common.ell_prime_field.nonsingular_in_bf(1)	KEPT
