TOTAL	consts	13905
TOTAL	const_rej	7232
TOTAL	thms	150439
TOTAL	thm_rej	58260
CONST	class_variant	HOL.Groups_List	3
CONST	concealed	Bernoulli.Bernoulli	2
CONST	concealed	HOL-Library.Log_Nat	2
CONST	concealed	HOL-Library.Sublist	2
CONST	concealed	HOL.Code_Evaluation	17
CONST	concealed	HOL.Random_Sequence	4
CONST	concealed	Pell.Pell_Algorithm	4
CONST	inst_infix	HOL-Algebra.Module	6
CONST	inst_infix	HOL-Library.IArray	9
CONST	inst_infix	HOL-Library.Stream	7
CONST	inst_infix	HOL.Basic_BNF_LFPs	2
CONST	inst_infix	HOL.Bit_Operations	23
CONST	inst_infix	HOL.Transcendental	1
CONST	sumC_graph	HOL-Library.Ramsey	1
CONST	sumC_graph	HOL.Bit_Operations	9
CONST	class_infix	HOL.Bit_Operations	3
CONST	class_infix	HOL.Transcendental	1
CONST	class_pred	HOL.Euclidean_Rings	6
CONST	class_variant	HOL-Library.FSet	3
CONST	class_variant	HOL-Library.Tree	3
CONST	class_variant	HOL-Library.Word	2
CONST	class_variant	HOL.Lattices_Big	10
CONST	class_variant	HOL.Set_Interval	8
CONST	concealed	HOL-Library.Extended	29
CONST	concealed	HOL-Library.Interval	26
CONST	concealed	HOL-Library.Multiset	2
CONST	concealed	HOL-Library.Parallel	22
CONST	hidden	Bernoulli.Bernoulli_FPS	1
CONST	infra_theory	HOL.Lazy_Sequence	39
CONST	inst_infix	HOL-Library.Mapping	4
CONST	inst_infix	HOL.Euclidean_Rings	12
CONST	sumC_graph	Bernoulli.Bernoulli	1
CONST	sumC_graph	HOL-Library.Log_Nat	1
CONST	sumC_graph	HOL-Library.Sublist	1
CONST	sumC_graph	Pell.Pell_Algorithm	2
CONST	adt_record	HOL-Algebra.UnivPoly	3
CONST	adt_record	HOL-Library.Extended	1
CONST	adt_record	HOL-Library.Parallel	1
CONST	class_infix	HOL.Euclidean_Rings	3
CONST	class_pred	HOL-Library.Preorder	1
CONST	class_pred	HOL.Boolean_Algebras	1
CONST	concealed	HOL-Library.Code_Test	34
CONST	concealed	HOL-Library.Countable	2
CONST	concealed	HOL-Number_Theory.Fib	4
CONST	concealed	HOL.Quickcheck_Random	2
CONST	concealed	List-Index.List_Index	2
CONST	hidden	HOL.Quickcheck_Narrowing	13
CONST	inst_infix	HOL-Algebra.UnivPoly	6
CONST	inst_infix	HOL-Library.Char_ord	4
CONST	inst_infix	HOL-Library.Extended	20
CONST	inst_infix	HOL-Library.Interval	16
CONST	inst_infix	HOL-Library.Multiset	14
CONST	inst_infix	HOL-Library.Parallel	9
CONST	inst_infix	HOL.Boolean_Algebras	4
CONST	inst_infix	Lp.Functional_Spaces	4
CONST	sumC_graph	HOL-Library.Extended	5
CONST	sumC_graph	HOL-Library.Interval	1
CONST	sumC_graph	HOL-Library.Multiset	1
CONST	class_infix	HOL.Boolean_Algebras	1
CONST	class_pred	HOL-Library.Countable	1
CONST	class_pred	HOL.Archimedean_Field	2
CONST	class_pred	HOL.Complete_Lattices	6
CONST	class_variant	HOL.Bit_Operations	5
CONST	concealed	HOL-Combinatorics.Perm	2
CONST	concealed	HOL-Decision_Procs.MIR	146
CONST	concealed	HOL-Library.Comparator	18
CONST	concealed	HOL-Library.Finite_Map	3
CONST	concealed	HOL-Library.ListVector	2
CONST	hidden	HOL.Quickcheck_Exhaustive	10
CONST	hidden	Landau_Symbols.Group_Sort	10
CONST	infra_theory	HOL.Code_Evaluation	16
CONST	infra_theory	HOL.Random_Sequence	32
CONST	inst_infix	HOL-Library.Saturated	19
CONST	inst_infix	HOL.Complete_Lattices	6
CONST	sumC_graph	HOL-Library.Countable	1
CONST	sumC_graph	HOL-Number_Theory.Fib	2
CONST	sumC_graph	List-Index.List_Index	1
CONST	valtermify_term	HOL-Library.FSet	2
CONST	adt_record	HOL-Algebra.Congruence	6
CONST	adt_record	HOL-Library.Finite_Map	1
CONST	class_infix	HOL.Archimedean_Field	2
CONST	class_infix	HOL.Complete_Lattices	2
CONST	class_pred	HOL.Real_Vector_Spaces	20
CONST	class_pred	HOL.Topological_Spaces	16
CONST	concealed	Bernoulli.Bernoulli_FPS	4
CONST	concealed	HOL-Library.State_Monad	24
CONST	infra_theory	HOL.Limited_Sequence	28
CONST	infra_theory	Tools.Code_Generator	4
CONST	inst_infix	HOL-Algebra.Congruence	12
CONST	inst_infix	HOL-Combinatorics.Perm	6
CONST	inst_infix	HOL-Library.Comparator	14
CONST	inst_infix	HOL-Library.Finite_Map	7
CONST	inst_infix	HOL-Library.ListVector	3
CONST	inst_infix	HOL-Library.Option_ord	8
CONST	inst_infix	HOL.Real_Vector_Spaces	5
CONST	inst_infix	HOL.Topological_Spaces	4
CONST	inst_infix	Polynomials.MPoly_Type	9
CONST	quotient_typedef	HOL-Library.Word	4
CONST	random_aux_graph	HOL-Library.FSet	1
CONST	sumC_graph	HOL-Combinatorics.Perm	1
CONST	sumC_graph	HOL-Library.ListVector	1
CONST	valtermify_term	HOL-Library.Float	1
CONST	adt_record	HOL-Library.State_Monad	1
CONST	class_infix	HOL.Real_Vector_Spaces	9
CONST	class_infix	HOL.Topological_Spaces	10
CONST	class_pred	HOL-Library.Cardinality	4
CONST	class_pred	HOL-Library.Type_Length	2
CONST	class_variant	HOL-Library.Interval	1
CONST	class_variant	HOL-Library.Multiset	4
CONST	class_variant	HOL-Library.Preorder	1
CONST	concealed	HOL-Combinatorics.Cycles	2
CONST	concealed	HOL-Library.Extended_Nat	2
CONST	concealed	HOL-Library.Phantom_Type	22
CONST	concealed	HOL-Real_Asymp.Lazy_Eval	18
CONST	concealed	HOL.Quickcheck_Narrowing	126
CONST	hidden	Algebraic_Numbers.Resultant	10
CONST	hidden	HOL-Analysis.Gamma_Function	1
CONST	hidden	HOL-Library.Pattern_Aliases	6
CONST	infra_theory	HOL-Library.Code_Lazy	11
CONST	infra_theory	HOL-Library.Code_Test	24
CONST	infra_theory	HOL.Quickcheck_Random	22
CONST	inst_infix	HOL-Library.Cardinality	38
CONST	inst_infix	HOL-Library.State_Monad	9
CONST	inst_infix	HOL-Library.Type_Length	7
CONST	inst_infix	HOL-Probability.Fin_Map	3
CONST	pre_bnf_prefix	HOL.BNF_Composition	2
CONST	quotient_typedef	HOL-Library.Uprod	4
CONST	sumC_graph	Bernoulli.Bernoulli_FPS	2
CONST	sumC_graph	HOL-Library.State_Monad	1
CONST	adt_record	HOL-Library.Extended_Nat	1
CONST	adt_record	HOL-Library.Phantom_Type	1
CONST	class_infix	HOL-Library.Cardinality	2
CONST	class_pred	HOL-Library.Extended_Nat	1
CONST	class_variant	HOL-Analysis.Isolated	3
CONST	concealed	Derangements.Derangements	2
CONST	concealed	DigitsInBase.DigitsInBase	2
CONST	concealed	HOL-Decision_Procs.Cooper	114
CONST	concealed	HOL-Library.Extended_Real	34
CONST	concealed	HOL-Library.Nat_Bijection	6
CONST	concealed	HOL-Library.Tree_Multiset	4
CONST	concealed	HOL.Quickcheck_Exhaustive	58
CONST	concealed	Jordan_Normal_Form.Matrix	10
CONST	concealed	Landau_Symbols.Group_Sort	10
CONST	concealed	Linear_Recurrences.RatFPS	3
CONST	concealed	Sturm_Tarski.Sturm_Tarski	4
CONST	infra_theory	HOL-Decision_Procs.MIR	209
CONST	inst_infix	Gauss_Jordan.Code_Matrix	1
CONST	inst_infix	HOL-Library.Extended_Nat	21
CONST	inst_infix	HOL-Library.Numeral_Type	55
CONST	inst_infix	HOL-Library.Old_Datatype	1
CONST	inst_infix	HOL-Library.Phantom_Type	10
CONST	inst_infix	HOL-Library.Poly_Mapping	12
CONST	inst_infix	HOL-Library.Product_Plus	4
CONST	inst_infix	HOL-Library.Set_Algebras	4
CONST	inst_infix	HOL-Probability.PMF_Impl	4
CONST	sumC_graph	HOL-Combinatorics.Cycles	1
CONST	class_pred	HOL-Analysis.Infinite_Sum	1
CONST	class_pred	HOL-Library.Quotient_Type	2
CONST	class_variant	HOL-Number_Theory.Cong	2
CONST	class_variant	HOL.Real_Vector_Spaces	1
CONST	class_variant	HOL.Topological_Spaces	18
CONST	concealed	HOL-Combinatorics.Stirling	4
CONST	concealed	HOL-Decision_Procs.Ferrack	102
CONST	concealed	HOL-Library.Interval_Float	16
CONST	concealed	HOL-Library.Time_Functions	26
CONST	inst_infix	HOL-Library.Complex_Order	2
