TOTAL	consts	13905
TOTAL	const_rej	7007
TOTAL	thms	150439
TOTAL	thm_rej	62880
CONST	class_variant	HOL-Computational_Algebra.Factorial_Ring	10
CONST	class_variant	HOL-Computational_Algebra.Fraction_Field	1
CONST	concealed	HOL-Decision_Procs.Commutative_Ring_Complete	2
CONST	concealed	HOL-Library.Linear_Temporal_Logic_on_Streams	4
CONST	class_pred	Affine_Arithmetic.Executable_Euclidean_Space	1
CONST	class_variant	Berlekamp_Zassenhaus.Unique_Factorization	12
CONST	concealed	Card_Number_Partitions.Card_Number_Partitions	2
CONST	concealed	HOL-Computational_Algebra.Euclidean_Algorithm	8
CONST	concealed	HOL-Computational_Algebra.Formal_Power_Series	12
CONST	concealed	Polynomial_Interpolation.Newton_Interpolation	14
CONST	inst_infix	Affine_Arithmetic.Executable_Euclidean_Space	12
CONST	class_infix	Affine_Arithmetic.Executable_Euclidean_Space	2
CONST	class_pred	HOL-Computational_Algebra.Euclidean_Algorithm	5
CONST	concealed	HOL-Computational_Algebra.Polynomial_Factorial	2
CONST	concealed	HOL-Decision_Procs.Parametric_Ferrante_Rackoff	101
CONST	inst_infix	HOL-Computational_Algebra.Formal_Power_Series	20
CONST	class_infix	HOL-Computational_Algebra.Euclidean_Algorithm	6
CONST	class_variant	Polynomial_Interpolation.Missing_Polynomial	1
CONST	infra_theory	HOL-Decision_Procs.Commutative_Ring_Complete	3
CONST	inst_infix	Berlekamp_Zassenhaus.Unique_Factorization_Poly	9
CONST	inst_infix	HOL-Computational_Algebra.Polynomial_Factorial	4
CONST	quotient_typedef	HOL-Computational_Algebra.Fraction_Field	4
CONST	abs_rep_name	HOL-Computational_Algebra.Formal_Power_Series	1
CONST	concealed	Linear_Recurrences.Linear_Homogenous_Recurrences	2
CONST	inst_infix	HOL-Computational_Algebra.Formal_Laurent_Series	13
CONST	class_variant	HOL-Computational_Algebra.Euclidean_Algorithm	11
CONST	concealed	Linear_Recurrences.Partial_Fraction_Decomposition	6
CONST	infra_theory	HOL-Decision_Procs.Parametric_Ferrante_Rackoff	143
CONST	abs_rep_name	HOL-Computational_Algebra.Formal_Laurent_Series	1
CONST	concealed	Polynomial_Factorization.Square_Free_Factorization	2
CONST	inst_infix	Ordinary_Differential_Equations.ODE_Auxiliarities	1
CONST	concealed	HOL-Decision_Procs.Reflected_Multivariate_Polynomial	64
CONST	concealed	Ordinary_Differential_Equations.Reachability_Analysis	19
CONST	adt_record	Ordinary_Differential_Equations.Reachability_Analysis	2
CONST	inst_infix	Ordinary_Differential_Equations.Reachability_Analysis	9
CONST	infra_theory	HOL-Decision_Procs.Reflected_Multivariate_Polynomial	92
CONST	inst_infix	Ordinary_Differential_Equations.Bounded_Linear_Operator	15
CONST	abs_rep_name	Ordinary_Differential_Equations.Bounded_Linear_Operator	2
THM	concealed	Pure	5	5
THM	hidden	HOL.Nat	2	2
THM	shadowed	HOL.Fun	1	1
THM	adt_infra	HOL.Nat	1	1
THM	adt_infra	HOL.Num	1	1
THM	concealed	HOL.GCD	48	46
THM	concealed	HOL.HOL	11	11
THM	concealed	HOL.Int	30	30
THM	concealed	HOL.Map	1	1
THM	concealed	HOL.Nat	52	51
THM	concealed	HOL.Num	76	76
THM	concealed	HOL.Rat	37	37
THM	concealed	HOL.SMT	2	2
THM	concealed	HOL.Set	12	12
THM	hidden	HOL.Groups	4	4
THM	adt_infra	HOL.Enum	7	7
THM	adt_infra	HOL.List	3	3
THM	concealed	HOL.Enum	467	467
THM	concealed	HOL.List	247	225
THM	concealed	HOL.Real	40	40
THM	concealed	HOL.Power	4	4
THM	concealed	HOL.Rings	71	71
THM	hidden	HOL.Quotient	24	24
THM	adt_infra	HOL.Option	2	2
THM	adt_infra	HOL.Record	2	2
THM	adt_infra	HOL.String	10	10
THM	concealed	HOL.Fields	6	6
THM	concealed	HOL.Filter	19	19
THM	concealed	HOL.Groups	17	17
THM	concealed	HOL.Limits	8	8
THM	concealed	HOL.Option	64	64
THM	concealed	HOL.Parity	12	12
THM	concealed	HOL.Random	28	28
THM	concealed	HOL.Record	69	69
THM	concealed	HOL.String	88	88
THM	adt_infra	HOL.Complex	2	2
THM	adt_infra	HOL.Nitpick	3	3
THM	adt_infra	HOL.Typerep	2	2
THM	concealed	HOL.Complex	78	78
THM	concealed	HOL.Nitpick	141	141
THM	concealed	HOL.Typerep	50	50
THM	adt_infra	HOL.Sum_Type	3	3
THM	concealed	HOL.Lattices	15	15
THM	concealed	HOL.Sum_Type	26	25
THM	hidden	HOL.Random_Pred	1	1
THM	adt_infra	HOL.Predicate	4	4
THM	cascade/hidden	HOL.Zorn	41	39
THM	concealed	HOL.Orderings	19	19
THM	concealed	HOL.Predicate	131	131
THM	inductive_infra	HOL.Num	1	1
THM	adt_infra	HOL.Extraction	1	1
THM	concealed	HOL-Library.Z2	37	37
THM	concealed	HOL.Extraction	44	44
THM	concealed	HOL.Finite_Set	6	6
THM	concealed	Matrix.Utility	33	26
THM	hidden	HOL-Library.Uprod	8	8
THM	hidden	Triangle.Triangle	2	2
THM	inductive_infra	HOL.List	2	2
THM	inductive_infra	HOL.Zorn	3	3
THM	cascade/concealed	HOL.GCD	2	2
THM	cascade/concealed	HOL.Nat	1	1
THM	cascade/concealed	HOL.Num	1	1
THM	concealed	HOL.Random_Pred	13	13
THM	hidden	HOL.Bit_Operations	12	12
THM	hidden	HOL.Transcendental	4	4
THM	adt_infra	HOL-Algebra.Ring	5	5
THM	adt_infra	HOL-Library.Tree	5	5
THM	adt_infra	HOL.Code_Numeral	2	2
THM	adt_infra	HOL.Product_Type	3	3
THM	cascade/adt_record	HOL.Num	6	2
THM	cascade/class_pred	HOL.GCD	26	20
THM	cascade/class_pred	HOL.HOL	49	49
THM	cascade/class_pred	HOL.Nat	9	8
THM	cascade/class_pred	HOL.Num	9	6
THM	cascade/concealed	HOL.Enum	5	5
THM	cascade/concealed	HOL.List	30	21
THM	concealed	HOL-Algebra.Ring	24	24
THM	concealed	HOL-Library.FSet	76	74
THM	concealed	HOL-Library.Tree	322	277
THM	concealed	HOL-Library.Word	58	58
THM	concealed	HOL.Code_Numeral	93	92
THM	concealed	HOL.Product_Type	69	68
THM	concealed	HOL.Set_Interval	11	11
THM	hidden	HOL-Library.Sublist	3	3
THM	hidden	HOL.BNF_Composition	42	40
THM	adt_infra	HOL-Algebra.Group	5	5
THM	adt_infra	HOL-Algebra.Order	5	5
THM	adt_infra	HOL.Lazy_Sequence	1	1
THM	cascade/adt_record	HOL.List	15	13
THM	cascade/class_infix	HOL.GCD	250	246
THM	cascade/class_infix	HOL.HOL	9	9
THM	cascade/class_infix	HOL.Nat	99	78
THM	cascade/class_infix	HOL.Num	122	61
THM	cascade/class_pred	HOL.Enum	13	7
THM	cascade/class_pred	HOL.List	11	8
THM	concealed	HOL-Algebra.Group	24	24
THM	concealed	HOL-Algebra.Order	22	22
THM	concealed	HOL-Library.AList	72	63
THM	concealed	HOL-Library.Dlist	17	17
THM	concealed	HOL-Library.Float	62	56
THM	concealed	HOL-Library.Uprod	23	23
THM	concealed	HOL.Lazy_Sequence	88	88
THM	hidden	HOL-Library.Multiset	3	3
THM	adt_infra	HOL-Algebra.Module	5	5
THM	adt_infra	HOL-Library.IArray	1	1
THM	adt_infra	HOL-Library.Stream	2	2
THM	cascade/abs_rep_name	HOL.Int	30	30
THM	cascade/abs_rep_name	HOL.Nat	15	15
THM	cascade/abs_rep_name	HOL.Rat	24	24
THM	cascade/class_infix	HOL.Enum	39	36
THM	cascade/class_infix	HOL.List	51	47
THM	cascade/class_pred	HOL.Power	4	3
THM	cascade/class_pred	HOL.Rings	266	177
THM	cascade/concealed	HOL.Option	1	1
THM	cascade/concealed	HOL.Random	2	2
THM	cascade/concealed	HOL.Record	1	1
THM	concealed	HOL-Algebra.Module	22	22
THM	concealed	HOL-Library.IArray	65	65
THM	concealed	HOL-Library.Ramsey	18	14
THM	concealed	HOL-Library.Stream	64	64
THM	concealed	HOL.Basic_BNF_LFPs	8	8
THM	concealed	HOL.Bit_Operations	268	154
THM	concealed	HOL.Hilbert_Choice	5	5
THM	concealed	HOL.Transcendental	2	2
THM	inductive_infra	HOL.Relation	4	4
THM	cascade/adt_record	HOL.Option	5	3
THM	cascade/adt_record	HOL.Record	2	2
THM	cascade/adt_record	HOL.String	3	3
THM	cascade/class_infix	HOL.Rings	1556	1335
THM	cascade/class_pred	HOL.Fields	31	26
THM	cascade/class_pred	HOL.Groups	194	170
THM	cascade/class_pred	HOL.Limits	26	18
THM	cascade/class_pred	HOL.Parity	13	11
THM	cascade/class_variant	HOL.GCD	6	6
THM	cascade/class_variant	HOL.Int	6	6
THM	cascade/class_variant	HOL.Nat	11	11
THM	cascade/class_variant	HOL.Num	16	16
THM	cascade/class_variant	HOL.Rat	5	5
THM	cascade/concealed	HOL.Complex	1	1
THM	cascade/concealed	HOL.Nitpick	4	4
THM	concealed	Bernoulli.Bernoulli	15	13
THM	concealed	HOL-Library.Log_Nat	13	13
THM	concealed	HOL-Library.Mapping	9	9
THM	concealed	HOL-Library.Sublist	20	16
THM	concealed	HOL.BNF_Composition	1	1
THM	concealed	HOL.Code_Evaluation	44	44
THM	concealed	HOL.Euclidean_Rings	20	20
THM	concealed	HOL.Random_Sequence	26	26
THM	concealed	Pell.Pell_Algorithm	27	23
THM	shadowed	HOL-Library.Multiset	1	1
THM	adt_infra	HOL-Algebra.UnivPoly	5	5
THM	adt_infra	HOL-Library.Extended	1	1
THM	adt_infra	HOL-Library.Parallel	2	2
THM	cascade/adt_record	HOL.Typerep	2	2
THM	cascade/class_infix	HOL.Fields	298	288
THM	cascade/class_infix	HOL.Groups	717	670
THM	cascade/class_infix	HOL.Limits	55	44
THM	cascade/class_infix	HOL.Parity	140	113
THM	cascade/class_pred	HOL.Typerep	5	5
THM	cascade/class_variant	HOL.List	671	579
THM	cascade/concealed	HOL.Sum_Type	2	2
THM	concealed	HOL-Algebra.UnivPoly	24	24
THM	concealed	HOL-Library.Char_ord	6	6
THM	concealed	HOL-Library.Extended	203	145
THM	concealed	HOL-Library.Interval	88	86
THM	concealed	HOL-Library.Multiset	45	43
THM	concealed	HOL-Library.Parallel	74	74
THM	concealed	HOL.Boolean_Algebras	6	6
THM	concealed	Lp.Functional_Spaces	8	8
THM	concealed	Tools.Code_Generator	6	6
THM	hidden	Bernoulli.Bernoulli_FPS	4	4
THM	inductive_infra	HOL.Basic_BNFs	4	4
THM	inductive_infra	HOL.Finite_Set	1	1
THM	adt_infra	HOL-Library.Code_Test	2	2
THM	cascade/abs_rep_name	HOL.Filter	26	26
THM	cascade/abs_rep_name	HOL.String	14	14
THM	cascade/adt_record	HOL.Sum_Type	20	14
THM	cascade/class_pred	HOL.Lattices	42	33
THM	cascade/class_variant	HOL.Power	7	6
THM	cascade/class_variant	HOL.Rings	19	19
THM	cascade/concealed	HOL.Predicate	3	3
THM	cascade/hidden	HOL.Product_Type	2	2
THM	cascade/internal_prefix	HOL.ATP	45	28
THM	cascade/internal_prefix	HOL.HOL	556	232
THM	concealed	HOL-Library.Code_Lazy	7	7
THM	concealed	HOL-Library.Code_Test	80	80
THM	concealed	HOL-Library.Countable	26	22
THM	concealed	HOL-Library.Saturated	34	34
THM	concealed	HOL-Number_Theory.Fib	38	29
THM	concealed	HOL.Complete_Lattices	14	14
THM	concealed	HOL.Quickcheck_Random	36	34
THM	concealed	List-Index.List_Index	20	16
THM	hidden	HOL-Probability.PMF_Impl	1	1
THM	hidden	HOL.Quickcheck_Narrowing	9	8
THM	inductive_infra	Fourier.Fourier	1	1
THM	inductive_infra	HOL.Wellfounded	2	2
THM	adt_infra	HOL-Algebra.Congruence	10	10
THM	adt_infra	HOL-Library.Comparator	1	1
THM	cascade/abs_rep_name	HOL.Nitpick	7	7
THM	cascade/class_infix	HOL.Lattices	200	168
THM	cascade/class_pred	HOL.Orderings	57	50
THM	cascade/class_variant	HOL.Parity	2	2
THM	cascade/class_variant	HOL.String	4	4
THM	cascade/concealed	Matrix.Utility	2	2
THM	cascade/quotient_typedef	HOL.Int	17	17
THM	cascade/quotient_typedef	HOL.Rat	19	19
THM	concealed	HOL-Algebra.Congruence	44	44
THM	concealed	HOL-Combinatorics.Perm	28	24
THM	concealed	HOL-Decision_Procs.MIR	4276	726
THM	concealed	HOL-Library.Comparator	67	67
THM	concealed	HOL-Library.Finite_Map	27	27
THM	concealed	HOL-Library.ListVector	27	19
THM	concealed	HOL-Library.Option_ord	26	26
THM	concealed	HOL.Real_Vector_Spaces	20	20
THM	concealed	HOL.Topological_Spaces	22	22
THM	concealed	HOL.Transitive_Closure	2	2
THM	concealed	Polynomials.MPoly_Type	35	35
THM	hidden	Landau_Symbols.Group_Sort	47	42
THM	infra_theory	HOL.Code_Evaluation	37	35
THM	adt_infra	HOL-Library.State_Monad	3	3
THM	cascade/abs_rep_name	HOL.Sum_Type	13	13
THM	cascade/class_infix	HOL.Orderings	782	736
THM	cascade/class_pred	HOL.Finite_Set	4	4
THM	cascade/class_variant	HOL.Typerep	2	2
THM	cascade/concealed	HOL.Random_Pred	1	1
THM	cascade/quotient_typedef	HOL.Real	22	22
THM	concealed	Bernoulli.Bernoulli_FPS	33	26
THM	concealed	HOL-Library.Cardinality	63	63
THM	concealed	HOL-Library.State_Monad	88	86
THM	concealed	HOL-Library.Type_Length	17	17
THM	concealed	HOL-Probability.Fin_Map	11	11
THM	hidden	HOL-Library.Landau_Symbols	1	1
THM	adt_infra	HOL-Library.Extended_Nat	2	2
THM	adt_infra	HOL-Library.Numeral_Type	12	12
THM	adt_infra	HOL-Library.Phantom_Type	3	3
THM	adt_infra	HOL-Real_Asymp.Lazy_Eval	1	1
THM	adt_infra	HOL.Quickcheck_Narrowing	3	3
THM	cascade/class_infix	HOL.Finite_Set	11	11
THM	cascade/concealed	HOL-Library.FSet	3	3
THM	cascade/concealed	HOL-Library.Tree	23	15
THM	cascade/concealed	HOL-Library.Word	1	1
THM	cascade/concealed	HOL.Product_Type	5	5
THM	cascade/concealed	HOL.Set_Interval	3	3
THM	cascade/hidden	HOL.Code_Evaluation	9	9
THM	concealed	Gauss_Jordan.Code_Matrix	2	2
THM	concealed	HOL-Combinatorics.Cycles	17	13
THM	concealed	HOL-Library.Extended_Nat	54	53
THM	concealed	HOL-Library.Infinite_Set	2	2
THM	concealed	HOL-Library.Numeral_Type	109	109
THM	concealed	HOL-Library.Old_Datatype	3	3
THM	concealed	HOL-Library.Phantom_Type	77	77
THM	concealed	HOL-Library.Poly_Mapping	46	46
THM	concealed	HOL-Library.Product_Plus	17	17
THM	concealed	HOL-Library.Set_Algebras	16	16
THM	concealed	HOL-Probability.PMF_Impl	8	8
THM	concealed	HOL-Real_Asymp.Lazy_Eval	57	57
THM	concealed	HOL.Quickcheck_Narrowing	381	379
THM	hidden	Algebraic_Numbers.Resultant	43	38
THM	hidden	HOL-Analysis.Gamma_Function	18	18
THM	hidden	HOL-Library.Pattern_Aliases	8	6
THM	inductive_infra	HOL-Library.Stream	2	2
THM	adt_infra	HOL-Library.Extended_Real	1	1
THM	adt_infra	HOL.Quickcheck_Exhaustive	2	2
THM	cascade/abs_rep_name	HOL-Library.Z2	24	22
THM	cascade/adt_record	HOL-Algebra.Ring	12	6
THM	cascade/adt_record	HOL-Library.Tree	5	3
THM	cascade/adt_record	HOL.Code_Numeral	4	2
THM	cascade/class_pred	HOL-Library.Tree	3	3
THM	cascade/class_variant	HOL.Factorial	4	4
THM	cascade/class_variant	HOL.Inductive	4	4
THM	cascade/class_variant	HOL.Orderings	454	436
THM	cascade/concealed	HOL-Library.AList	11	9
THM	cascade/concealed	HOL-Library.Dlist	1	1
THM	cascade/concealed	HOL-Library.Float	2	2
THM	cascade/concealed	HOL-Library.Uprod	1	1
THM	cascade/concealed	HOL.Lazy_Sequence	7	7
THM	cascade/internal_prefix	HOL.BNF_Def	2112	2087
THM	cascade/internal_prefix	HOL.Lifting	150	150
THM	concealed	Derangements.Derangements	18	13
THM	concealed	DigitsInBase.DigitsInBase	15	13
THM	concealed	Gauss_Jordan.Gauss_Jordan	1	1
THM	concealed	HOL-Analysis.Infinite_Sum	1	1
THM	concealed	HOL-Decision_Procs.Cooper	2833	503
THM	concealed	HOL-Library.Complex_Order	6	6
THM	concealed	HOL-Library.Extended_Real	209	179
THM	concealed	HOL-Library.Nat_Bijection	40	37
THM	concealed	HOL-Library.Product_Order	28	28
THM	concealed	HOL-Library.Quotient_Type	3	3
THM	concealed	HOL-Library.Tree_Multiset	32	26
THM	concealed	HOL-Number_Theory.Totient	1	1
THM	concealed	HOL.Quickcheck_Exhaustive	299	297
THM	concealed	Jordan_Normal_Form.Matrix	108	100
THM	concealed	Landau_Symbols.Group_Sort	83	67
THM	concealed	Linear_Recurrences.RatFPS	68	66
THM	concealed	Sturm_Tarski.Sturm_Tarski	30	24
THM	hidden	Bertrands_Postulate.Bertrand	20	18
THM	hidden	HOL-Analysis.FPS_Convergence	1	1
THM	hidden	HOL-Analysis.Summation_Tests	4	3
THM	infra_theory	HOL-Decision_Procs.MIR	3937	571
THM	cascade/adt_record	HOL-Algebra.Group	16	8
THM	cascade/adt_record	HOL-Algebra.Order	3	2
THM	cascade/class_pred	HOL.Lazy_Sequence	3	3
THM	cascade/class_variant	HOL.Groups_Big	36	36
THM	cascade/concealed	HOL-Library.IArray	1	1
THM	cascade/concealed	HOL-Library.Ramsey	1	1
THM	cascade/concealed	HOL-Library.Stream	1	1
THM	cascade/concealed	HOL.Bit_Operations	17	17
THM	cascade/internal_prefix	HOL.Transfer	512	501
THM	concealed	HOL-Analysis.Inner_Product	5	5
THM	concealed	HOL-Analysis.Measure_Space	11	11
THM	concealed	HOL-Analysis.Sigma_Algebra	3	3
THM	concealed	HOL-Combinatorics.Stirling	41	27
THM	concealed	HOL-Decision_Procs.Ferrack	1857	451
THM	concealed	HOL-Library.Interval_Float	50	43
THM	concealed	HOL-Library.Multiset_Order	10	10
THM	concealed	HOL-Library.Time_Functions	189	168
THM	concealed	HOL-Probability.Tree_Space	2	2
THM	concealed	HOL.Complete_Partial_Order	1	1
THM	concealed	HOL.Semiring_Normalization	2	2
THM	hidden	HOL-Analysis.Harmonic_Numbers	1	1
THM	hidden	Sturm_Sequences.Sturm_Theorem	2	2
THM	cascade/abs_rep_name	HOL-Algebra.Ring	10	10
THM	cascade/abs_rep_name	HOL-Library.FSet	28	28
THM	cascade/abs_rep_name	HOL.Product_Type	22	22
THM	cascade/adt_record	HOL-Algebra.Module	5	4
THM	cascade/adt_record	HOL-Library.IArray	3	3
THM	cascade/adt_record	HOL-Library.Stream	1	1
THM	cascade/class_pred	HOL.Bit_Operations	14	11
THM	cascade/class_pred	HOL.Transcendental	3	2
THM	cascade/class_variant	HOL.Groups_List	16	16
THM	cascade/concealed	Bernoulli.Bernoulli	1	1
THM	cascade/concealed	HOL-Library.Log_Nat	1	1
THM	cascade/concealed	HOL-Library.Sublist	1	1
THM	cascade/concealed	HOL.Random_Sequence	2	2
THM	cascade/concealed	Pell.Pell_Algorithm	7	4
THM	concealed	Algebraic_Numbers.Resultant	45	39
THM	concealed	Budan_Fourier.Budan_Fourier	11	11
THM	concealed	Coinductive.Coinductive_Nat	1	1
THM	concealed	Gauss_Jordan.IArray_Addenda	4	4
THM	concealed	HOL-Analysis.Gamma_Function	5	5
THM	concealed	HOL-Analysis.Product_Vector	16	16
THM	concealed	HOL-Library.Omega_Words_Fun	1	1
THM	concealed	HOL-Library.Pattern_Aliases	16	12
THM	concealed	HOL-Library.Signed_Division	3	3
THM	hidden	Jordan_Normal_Form.Determinant	1	1
THM	adt_infra	Coinductive.Coinductive_List	3	3
THM	cascade/abs_rep_name	HOL-Algebra.Group	10	10
THM	cascade/abs_rep_name	HOL-Algebra.Order	10	10
THM	cascade/abs_rep_name	HOL-Library.Dlist	8	8
THM	cascade/abs_rep_name	HOL-Library.Uprod	8	8
THM	cascade/class_infix	HOL.Bit_Operations	463	418
THM	cascade/class_infix	HOL.Transcendental	10	8
THM	cascade/class_pred	HOL.Euclidean_Rings	22	19
THM	cascade/class_variant	HOL-Library.FSet	6	6
THM	cascade/class_variant	HOL-Library.Tree	4	4
THM	cascade/class_variant	HOL-Library.Word	4	4
THM	cascade/class_variant	HOL.Lattices_Big	350	350
THM	cascade/class_variant	HOL.Set_Interval	675	563
THM	cascade/concealed	HOL-Library.Extended	8	6
THM	cascade/concealed	HOL-Library.Interval	1	1
THM	cascade/concealed	HOL-Library.Multiset	1	1
THM	cascade/concealed	HOL-Library.Parallel	2	2
THM	concealed	Coinductive.Coinductive_List	62	62
THM	concealed	Gauss_Jordan.Gauss_Jordan_PA	16	13
THM	concealed	HOL-Analysis.Euclidean_Space	9	9
THM	concealed	HOL-Analysis.Function_Metric	5	5
THM	concealed	HOL-Library.Lattice_Algebras	8	8
THM	concealed	HOL-Library.While_Combinator	36	36
THM	concealed	HOL-Probability.Stream_Space	2	2
THM	concealed	Jordan_Normal_Form.Conjugate	9	9
THM	concealed	Pell.Efficient_Discrete_Sqrt	13	13
THM	hidden	Catalan_Numbers.Catalan_Numbers	5	5
THM	inductive_infra	HOL.Transitive_Closure	4	4
THM	infra_theory	HOL-Decision_Procs.Cooper	3158	294
THM	adt_infra	Cayley_Hamilton.Square_Matrix	6	6
THM	cascade/abs_rep_name	HOL-Algebra.Module	10	10
THM	cascade/adt_record	HOL-Algebra.UnivPoly	4	2
THM	cascade/adt_record	HOL-Library.Extended	7	3
THM	cascade/adt_record	HOL-Library.Parallel	3	3
THM	cascade/class_infix	HOL.Euclidean_Rings	179	173
THM	cascade/class_pred	HOL-Library.Preorder	2	2
THM	cascade/class_pred	HOL.Boolean_Algebras	6	3
THM	cascade/concealed	HOL-Library.Countable	4	3
THM	cascade/concealed	HOL-Number_Theory.Fib	2	2
THM	cascade/concealed	HOL.Quickcheck_Random	1	1
THM	cascade/concealed	List-Index.List_Index	1	1
THM	cascade/hidden	HOL.Quickcheck_Narrowing	30	23
THM	concealed	Cayley_Hamilton.Square_Matrix	29	29
THM	concealed	HOL-Decision_Procs.DP_Library	1	1
THM	concealed	HOL-Library.Function_Algebras	53	53
THM	concealed	HOL-Library.Function_Division	3	3
THM	concealed	HOL-Library.Power_By_Squaring	15	11
THM	concealed	Rank_Nullity_Theorem.Mod_Type	7	7
THM	concealed	Sturm_Sequences.Sturm_Theorem	30	24
THM	hidden	HOL-Library.Dual_Ordered_Lattice	1	1
THM	infra_theory	HOL-Decision_Procs.Ferrack	2189	319
THM	cascade/class_infix	HOL-Library.Preorder	18	18
THM	cascade/class_infix	HOL.Boolean_Algebras	46	44
THM	cascade/class_pred	HOL-Library.Countable	4	4
THM	cascade/class_pred	HOL.Archimedean_Field	5	5
THM	cascade/class_pred	HOL.Complete_Lattices	28	22
THM	cascade/class_pred	HOL.Quickcheck_Random	3	3
THM	cascade/class_variant	HOL.Bit_Operations	6	6
THM	cascade/concealed	HOL-Combinatorics.Perm	1	1
THM	cascade/concealed	HOL-Library.Comparator	1	1
THM	cascade/concealed	HOL-Library.Finite_Map	1	1
THM	cascade/concealed	HOL-Library.ListVector	1	1
THM	cascade/hidden	HOL.Quickcheck_Exhaustive	22	22
THM	cascade/hidden	Landau_Symbols.Group_Sort	18	10
THM	cascade/infra_theory	HOL.Code_Evaluation	210	205
THM	concealed	Coinductive.Coinductive_Stream	1	1
THM	concealed	HOL-Analysis.Abstract_Topology	3	3
THM	concealed	HOL-Analysis.Arcwise_Connected	15	11
THM	concealed	HOL-Analysis.Function_Topology	4	4
THM	concealed	HOL-Combinatorics.Permutations	26	24
THM	concealed	HOL-Library.Countable_Set_Type	15	15
THM	concealed	HOL-Library.Discrete_Functions	13	13
THM	concealed	HOL-Library.Infinite_Typeclass	8	8
THM	concealed	HOL-Library.Sorting_Algorithms	35	28
THM	concealed	HOL-Number_Theory.Eratosthenes	18	13
THM	concealed	MathBench_ProverBase.Geo_Real2	75	75
THM	hidden	HOL-Analysis.Weierstrass_Theorems	4	4
THM	hidden	HOL-Number_Theory.Euler_Criterion	28	28
THM	inductive_infra	HOL-Combinatorics.Orbits	1	1
THM	infra_theory	HOL-Decision_Procs.Rat_Pair	62	56
THM	adt_infra	Catalan_Numbers.Catalan_Numbers	1	1
THM	cascade/abs_rep_name	HOL-Algebra.UnivPoly	10	10
THM	cascade/abs_rep_name	HOL-Library.Multiset	23	23
THM	cascade/abs_rep_name	Lp.Functional_Spaces	9	9
THM	cascade/adt_record	HOL-Algebra.Congruence	37	23
THM	cascade/adt_record	HOL-Library.Comparator	6	2
THM	cascade/class_infix	HOL-Library.Countable	6	6
THM	cascade/class_infix	HOL.Archimedean_Field	17	15
THM	cascade/class_infix	HOL.Complete_Lattices	218	210
THM	cascade/class_pred	HOL.Real_Vector_Spaces	79	58
THM	cascade/class_pred	HOL.Topological_Spaces	51	47
THM	cascade/concealed	Bernoulli.Bernoulli_FPS	2	2
THM	cascade/concealed	HOL-Library.State_Monad	3	3
THM	cascade/quotient_typedef	HOL-Library.Word	21	21
THM	concealed	Catalan_Numbers.Catalan_Numbers	84	81
THM	concealed	HOL.BNF_Cardinal_Order_Relation	3	3
THM	concealed	Jordan_Normal_Form.Missing_Ring	4	4
THM	concealed	Rank_Nullity_Theorem.Dual_Order	1	1
THM	inductive_infra	HOL-Algebra.FiniteProduct	1	1
THM	inductive_infra	HOL-Analysis.Infinite_Sum	1	1
THM	cascade/abs_rep_name	HOL-Library.Code_Lazy	17	17
THM	cascade/abs_rep_name	HOL-Library.Saturated	16	16
THM	cascade/adt_record	HOL-Library.State_Monad	3	3
THM	cascade/class_infix	HOL.Real_Vector_Spaces	238	214
THM	cascade/class_infix	HOL.Topological_Spaces	338	325
THM	cascade/class_pred	HOL-Library.Cardinality	9	9
THM	cascade/class_pred	HOL-Library.Type_Length	6	6
THM	cascade/class_variant	HOL-Library.Multiset	18	17
THM	cascade/class_variant	HOL-Library.Preorder	2	2
THM	cascade/concealed	HOL-Combinatorics.Cycles	1	1
THM	cascade/concealed	HOL-Library.Extended_Nat	1	1
THM	cascade/concealed	HOL-Library.Phantom_Type	1	1
THM	cascade/concealed	HOL-Real_Asymp.Lazy_Eval	1	1
THM	cascade/concealed	HOL.Quickcheck_Narrowing	2	2
THM	cascade/hidden	Algebraic_Numbers.Resultant	1	1
THM	cascade/pre_bnf_prefix	HOL.BNF_Composition	41	41
THM	cascade/quotient_typedef	HOL-Library.Uprod	17	17
THM	concealed	Bell_Numbers_Spivey.Bell_Numbers	15	13
THM	concealed	HOL-Analysis.Elementary_Topology	4	4
THM	concealed	HOL-Computational_Algebra.Primes	20	20
THM	concealed	HOL-Decision_Procs.Approximation	807	327
THM	concealed	HOL-Library.Diagonal_Subsequence	2	2
THM	concealed	HOL-Library.Dual_Ordered_Lattice	41	41
THM	hidden	Algebraic_Numbers.Algebraic_Numbers	5	5
THM	hidden	Landau_Symbols.Landau_Real_Products	40	35
THM	hidden	Pratt_Certificate.Pratt_Certificate	2	2
THM	inductive_infra	HOL-Analysis.Sigma_Algebra	2	2
THM	inductive_infra	HOL-Probability.Tree_Space	1	1
THM	inductive_infra	HOL.Complete_Partial_Order	6	6
THM	infra_theory	HOL-Decision_Procs.DP_Library	6	5
THM	adt_infra	HOL-Library.Lattice_Constructions	3	3
THM	cascade/abs_rep_name	HOL-Algebra.Congruence	20	20
THM	cascade/abs_rep_name	HOL-Library.Comparator	13	13
THM	cascade/abs_rep_name	HOL-Library.Finite_Map	23	23
THM	cascade/adt_record	HOL-Library.Extended_Nat	4	2
THM	cascade/adt_record	HOL-Library.Phantom_Type	3	3
THM	cascade/adt_record	HOL-Real_Asymp.Lazy_Eval	6	2
THM	cascade/class_infix	HOL-Library.Cardinality	31	29
